recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
070-2010,Product Contamination,NA,California,2010-12-30,2012-06-04,Terminated
068-2010,"Unreported Allergens, Mislabeling","Bach Cuc Beef Jerky, Inc",NA,2010-12-29,2012-06-04,Terminated
067-2010,"Mislabeling, Product Contamination",NA,New Mexico,2010-12-17,2012-06-04,Terminated
066-2010,"Unreported Allergens, Mislabeling",Pampanga Food Co.,"California, Hawaii",2010-12-10,2012-06-04,Terminated
065-2010,"Unreported Allergens, Mislabeling","L&R Fine Food, Inc.",California,2010-12-08,2012-06-04,Terminated
064-2010,Product Contamination,"The Suter Company, Inc.",NA,2010-12-05,2012-06-04,Terminated
063-2010,Unreported Allergens,Diana's Central Meat Market,California,2010-12-03,2012-06-04,Terminated
062-2010,Produced Without Benefit of Inspection,NA,New York,2010-12-02,2012-06-04,Terminated
061-2010,Product Contamination,Calabro Cheese Corporation,Connecticut,2010-11-23,2012-06-04,Terminated
060-2010,Product Contamination,NA,NA,2010-11-14,2012-06-04,Terminated
059-2010,Product Contamination,NA,California,2010-11-05,2012-06-04,Terminated
058-2010,Processing Defect,"Eickman's Processing Co., Inc.",Illinois,2010-11-04,2012-06-04,Terminated
057-2010,Product Contamination,NA,California,2010-10-27,2012-06-04,Terminated
056-2010,Product Contamination,"Klement's Sausage Company, Inc.",NA,2010-10-22,2012-06-04,Terminated
055-2010,Product Contamination,NA,North Carolina,2010-10-20,2012-06-04,Terminated
054-2010,Mislabeling,Windsor Foods,Texas,2010-10-04,2012-06-04,Terminated
053-2010,"Unreported Allergens, Mislabeling","Mekong Fresh Meats, Inc.","Alaska, Arkansas, California, Colorado, Georgia, Michigan, Minnesota, Missouri, North Carolina, Ohio, Oklahoma, Wisconsin",2010-09-24,2012-06-04,Terminated
052-2010,Import Violation,NA,NA,2010-09-13,2012-06-04,Terminated
051-2010,Produced Without Benefit of Inspection,NA,California,2010-09-01,2012-06-04,Terminated
050-2010,Product Contamination,Cargill Meat Solutions,Connecticut,2010-08-28,2012-06-04,Terminated
049-2010,Product Contamination,NA,NA,2010-08-23,2012-06-04,Terminated
048-2010,Product Contamination,NA,California,2010-08-06,2012-06-04,Terminated
047-2010,Unreported Allergens,NA,"Maryland, New Jersey, New York",2010-08-03,2012-06-04,Terminated
046-2010,Product Contamination,NA,NA,2010-07-19,2012-06-04,Terminated
043-2010,Product Contamination,Rocky Mountain Natural Meats,NA,2010-07-07,2012-06-04,Terminated
045-2010,Product Contamination,NA,Pennsylvania,2010-07-07,2012-06-04,Terminated
044-2010,Unreported Allergens,NA,Illinois,2010-07-06,2012-06-04,Terminated
041-2010,Mislabeling,"OFD Foods, Inc.",NA,2010-06-30,2012-06-04,Terminated
042-2010,Unreported Allergens,NA,Texas,2010-06-30,NA,Ongoing
040-2010,Product Contamination,Great Kitchens Food Company,NA,2010-06-25,2012-06-04,Terminated
039-2010,Product Contamination,NA,NA,2010-06-24,2010-06-24,Terminated
037-2010,Product Contamination,"Crown I Enterprises, Inc.","Connecticut, New Jersey, New York",2010-06-22,2012-06-04,Terminated
038-2010,Product Contamination,South Gate Meat Co.,California,2010-06-22,2012-06-04,Terminated
035-2010,Processing Defect,Campbell Soup Supply Company L.L.C.,NA,2010-06-17,2012-06-04,Terminated
036-2010,Product Contamination,NA,NA,2010-06-17,2012-06-04,Terminated
034-2010,Product Contamination,NA,California,2010-05-15,2012-06-04,Terminated
033-2010,Product Contamination,NA,NA,2010-05-14,2012-06-04,Terminated
032-2010,"Unreported Allergens, Mislabeling",Galant Food Company,California,2010-05-12,2012-06-04,Terminated
PHA-051010-01,Product Contamination,NA,NA,2010-05-10,NA,Ongoing
031-2010,Produced Without Benefit of Inspection,Vienna Beef Ltd.,"Illinois, Minnesota, Wisconsin",2010-05-07,2012-06-04,Terminated
029-2010,Product Contamination,NA,Delaware,2010-05-05,2012-06-03,Terminated
030-2010,Product Contamination,Boston Salads and Provisions Company Inc.,"Maine, Massachusetts",2010-05-05,2012-06-03,Terminated
028-2010,Product Contamination,NA,Illinois,2010-05-04,2012-06-03,Terminated
027-2010,Product Contamination,Custom Corned Beef LLC,Colorado,2010-05-01,2012-06-03,Terminated
026-2010,Unreported Allergens,NA,North Carolina,2010-04-29,2012-06-03,Terminated
025-2010,Product Contamination,Beltex Corporation,"Georgia, Louisiana, Ohio, Oklahoma, Texas, Washington, Wisconsin",2010-04-21,2012-06-03,Terminated
024-2010,Unreported Allergens,West Lake Food Corporation,NA,2010-04-17,2012-06-03,Terminated
023-2010,Product Contamination,"North American Bison, LLC","Maryland, Colorado, Minnesota",2010-04-05,2012-06-03,Terminated
022-2010,Product Contamination,Lorentz Etc. Inc.,Minnesota,2010-04-04,2012-06-03,Terminated
021-2010,Unreported Allergens,Perdue Foods LLC,"Florida, Illinois, Indiana, Kentucky, Maryland, Missouri, New Jersey, New York, Ohio, Pennsylvania, Virginia",2010-03-19,2012-06-03,Terminated
PHA-031610-01,Product Contamination,NA,NA,2010-03-16,NA,Ongoing
020-2010,Produced Without Benefit of Inspection,"CAIE Foods Partnership, LTD",Nevada,2010-03-13,2012-06-03,Terminated
019-2010,Unreported Allergens,NA,"Alabama, Arkansas, California, Tennessee, Texas",2010-03-12,2012-06-03,Terminated
018-2010,Produced Without Benefit of Inspection,NA,New York,2010-03-11,2012-06-03,Terminated
016-2010,Product Contamination,"Ruiz Food Products, Inc.",NA,2010-03-09,2012-06-03,Terminated
017-2010,Product Contamination,NA,NA,2010-03-09,2012-06-03,Terminated
014-2010,Mislabeling,Rudolph Foods Company Inc.,NA,2010-03-08,2012-06-03,Terminated
013-2010,Product Contamination,"Randolph Packing Co., Inc.","Illinois, Missouri, New York, Ohio, Virginia",2010-03-02,2012-06-03,Terminated
006-2010-EXP2,Product Contamination,Daniele International,NA,2010-02-16,2013-06-03,Terminated
004-2010-EXP,Product Contamination,NA,California,2010-02-12,2013-06-03,Terminated
012-2010,"Unreported Allergens, Mislabeling",Daniel Western Meat Packers Inc.,"California, Illinois",2010-02-12,2012-06-03,Terminated
010-2010,"Misbranding, Unreported Allergens",Champ Meatball Company Inc.,"Arizona, California",2010-02-10,2012-06-03,Terminated
011-2010,Product Contamination,Schmalz European Provision Inc.,"California, Connecticut, Florida, Georgia, Indiana, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Texas",2010-02-10,2012-06-03,Terminated
009-2010,Unreported Allergens,NA,North Carolina,2010-02-05,2012-06-03,Terminated
008-2010,Product Contamination,NA,Illinois,2010-02-02,2012-06-03,Terminated
006-2010-EXP1,Product Contamination,Daniele International,NA,2010-01-31,2013-06-03,Terminated
007-2010,Import Violation,NA,NA,2010-01-27,2012-06-03,Terminated
006-2010,Product Contamination,Daniele International,NA,2010-01-23,2013-06-03,Terminated
005-2010,Product Contamination,NA,"Delaware, Florida, Illinois, Indiana, Iowa, Kentucky, Maryland, Michigan, Missouri, New Jersey, Ohio, Pennsylvania, Virginia, West Virginia, Wisconsin",2010-01-20,2013-06-03,Terminated
004-2010,Product Contamination,NA,California,2010-01-18,2013-06-03,Terminated
003-2010,Product Contamination,NA,New York,2010-01-15,2013-06-03,Terminated
002-2010,Product Contamination,Adams Farm Slaughterhouse LLC,Massachusetts,2010-01-11,2013-06-03,Terminated
001-2010,"Misbranding, Unreported Allergens",Rudolph Foods Company Inc.,California,2010-01-09,2012-06-03,Terminated
