case_number,recall_reason,establishment,states,date
017-2014,Produced Without Benefit of Inspection,NA,"Connecticut, Florida, Georgia, Illinois, Maryland, Massachusetts, Michigan, Missouri, New Jersey, New York, Pennsylvania, South Carolina, Virginia","Wed, 02/26/2014 - Wed, 06/08/2016"
016-2014,Import Violation,NA,"Arizona, California, Florida","Wed, 02/26/2014 - Wed, 06/08/2016"
013-2014-EXP,Produced Without Benefit of Inspection,NA,"California, Florida, Illinois, Oregon, Texas, Washington","Tue, 02/18/2014 - Current"
015-2014,Product Contamination,NA,NA,"Sat, 02/15/2014 - Thu, 11/10/2016"
013-2014,Produced Without Benefit of Inspection,NA,"California, Florida, Illinois, Oregon, Texas, Washington, California, Florida, Illinois, Oregon, Texas, Washington","Fri, 02/14/2014 - Current"
014-2014,"Misbranding, Unreported Allergens","Prime Snax Inc., Prime Snax Inc.","NA, NA","Tue, 02/11/2014 - Wed, 06/08/2016, Tue, 02/11/2014 - Wed, 06/08/2016"
012-2014,Processing Defect,Wyoming Authentic Products LLC,"Colorado, Utah, Washington, Wyoming","Sat, 02/08/2014 - Fri, 01/20/2017"
011-2014,"Misbranding, Unreported Allergens","NA, NA","Puerto Rico, Puerto Rico","Tue, 02/04/2014 - Wed, 06/08/2016, Tue, 02/04/2014 - Wed, 06/08/2016"
010-2014,Product Contamination,NA,"Arizona, Oklahoma, Puerto Rico, Texas","Tue, 02/04/2014 - Thu, 04/13/2017"
009-2014,"Misbranding, Unreported Allergens","House Of Smoke, Inc., House Of Smoke, Inc.","NA, NA","Sat, 02/01/2014 - Wed, 06/08/2016, Sat, 02/01/2014 - Wed, 06/08/2016"
008-2014,"Misbranding, Unreported Allergens","Walker's Food Products Co., Walker's Food Products Co.","Illinois, Kansas, Missouri, Oklahoma, Illinois, Kansas, Missouri, Oklahoma","Thu, 01/30/2014 - Thu, 01/12/2017, Thu, 01/30/2014 - Thu, 01/12/2017"
007-2014,"Misbranding, Unreported Allergens","George's Further Processing, George's Further Processing","NA, NA","Mon, 01/27/2014 - Wed, 06/08/2016, Mon, 01/27/2014 - Wed, 06/08/2016"
006-2014,"Misbranding, Unreported Allergens","Baxters North America, Baxters North America","NA, NA","Sun, 01/19/2014 - Wed, 06/08/2016, Sun, 01/19/2014 - Wed, 06/08/2016"
005-2014,Product Contamination,Carl Buddig and Company,"Illinois, Indiana, Kentucky, Ohio","Fri, 01/17/2014 - Wed, 06/08/2016"
004-2014,"Misbranding, Unreported Allergens","Huong Duyen Meat Products, Huong Duyen Meat Products","California, Colorado, Illinois, California, Colorado, Illinois","Fri, 01/17/2014 - Tue, 03/24/2015, Fri, 01/17/2014 - Tue, 03/24/2015"
002-2014-EXP1,Produced Without Benefit of Inspection,NA,California,"Thu, 01/16/2014 - Current"
003-2014,"Misbranding, Unreported Allergens","Cloverdale Foods Co., Cloverdale Foods Co.","Montana, North Dakota, Washington, Montana, North Dakota, Washington","Wed, 01/15/2014 - Fri, 01/13/2017, Wed, 01/15/2014 - Fri, 01/13/2017"
002-2014,Produced Without Benefit of Inspection,NA,California,"Mon, 01/13/2014 - Current"
001-2014,Product Contamination,"Tyson Poultry, Inc.",NA,"Fri, 01/10/2014 - Wed, 08/03/2016"
075-2013-EXP,Processing Defect,"Palama Holdings, LLC",Hawaii,"Tue, 12/24/2013 - Tue, 10/11/2016"
075-2013,Processing Defect,"Palama Holdings, LLC",Hawaii,"Fri, 12/20/2013 - Tue, 10/11/2016"
074-2013,Product Contamination,Saigon Gourmet LLC,"Arizona, California, Oklahoma, Nevada, Texas","Thu, 12/19/2013 - Tue, 03/24/2015"
073-2013-EXP2,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming","Mon, 12/16/2013 - Tue, 03/24/2015"
073-2013-EXP1,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming","Thu, 12/12/2013 - Mon, 09/19/2016"
073-2013,Insanitary Conditions,NA,"Colorado, Nebraska, New Mexico, Utah, Wyoming","Mon, 12/09/2013 - Tue, 03/24/2015"
072-2013,"Misbranding, Unreported Allergens","NA, NA","Arizona, California, Colorado, Indiana, Oregon, Texas, Utah, Washington, Arizona, California, Colorado, Indiana, Oregon, Texas, Utah, Washington","Fri, 12/06/2013 - Tue, 03/24/2015, Fri, 12/06/2013 - Tue, 03/24/2015"
071-2013,Product Contamination,NA,"California, Michigan","Fri, 12/06/2013 - Mon, 10/31/2016"
070-2013,Mislabeling,"Mary Ann's Speciality Foods, Inc.",NA,"Wed, 11/27/2013 - Mon, 03/03/2014"
069-2013,"Misbranding, Unreported Allergens","NA, NA","California, California","Fri, 11/22/2013 - Fri, 01/10/2014, Fri, 11/22/2013 - Fri, 01/10/2014"
067-2013,"Mislabeling, Processing Defect","Creminelli Fine Meats, Creminelli Fine Meats","NA, NA","Fri, 11/22/2013 - Mon, 08/29/2016, Fri, 11/22/2013 - Mon, 08/29/2016"
068-2013,"Misbranding, Unreported Allergens","NA, NA","Nebraska, Nebraska","Fri, 11/22/2013 - Tue, 03/24/2015, Fri, 11/22/2013 - Tue, 03/24/2015"
066-2013,Produced Without Benefit of Inspection,Fran's Fryers,Texas,"Wed, 11/13/2013 - Mon, 08/29/2016"
065-2013,Product Contamination,Glass Onion Catering,"Arizona, California, Nevada, New Mexico, Oregon, Texas, Utah, Washington","Sun, 11/10/2013 - Tue, 03/24/2015"
064-2013,"Misbranding, Mislabeling","Wycen Foods, Inc., Wycen Foods, Inc.","California, California","Thu, 11/07/2013 - Wed, 12/04/2013, Thu, 11/07/2013 - Wed, 12/04/2013"
059-2013-EXP2,Product Contamination,Reser's Fine Foods,NA,"Mon, 11/04/2013 - Fri, 06/17/2016"
062-2013-EXP,Product Contamination,"Taylor Farms TX, Inc.","Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Texas, Virginia","Tue, 10/29/2013 - Wed, 04/09/2014"
063-2013,Produced Without Benefit of Inspection,NA,"Arizona, California","Sat, 10/26/2013 - Tue, 03/24/2015"
059-2013-EXP1,Product Contamination,Reser's Fine Foods,NA,"Sat, 10/26/2013 - Fri, 06/17/2016"
062-2013,Product Contamination,"Taylor Farms TX, Inc.","Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Vermont","Fri, 10/25/2013 - Mon, 03/23/2015"
055-2013-EXP2,Product Contamination,"Garden Fresh Foods, Inc.",NA,"Fri, 10/25/2013 - Thu, 10/29/2015"
061-2013,Product Contamination,Boston Salads and Provisions Company Inc.,"Massachusetts, New Hampshire","Thu, 10/24/2013 - Tue, 03/24/2015"
060-2013,Product Contamination,NA,Minnesota,"Tue, 10/22/2013 - Tue, 10/25/2016"
059-2013,Product Contamination,Reser's Fine Foods,NA,"Tue, 10/22/2013 - Fri, 06/17/2016"
055-2013-EXP1,Product Contamination,"Garden Fresh Foods, Inc.",NA,"Thu, 10/17/2013 - Thu, 10/29/2015"
058-2013-EXP,Product Contamination,NA,California,"Thu, 10/17/2013 - Tue, 03/24/2015"
058-2013,Product Contamination,NA,California,"Sat, 10/12/2013 - Mon, 03/23/2015"
pha-100713,Product Contamination,NA,"California, Oregon, Washington","Mon, 10/07/2013 - Current"
057-2013,Product Contamination,"Central Valley Meat Co., Inc.","Arkansas, Nebraska, North Carolina","Tue, 10/01/2013 - Mon, 03/23/2015"
056-2013,"Misbranding, Unreported Allergens","NA, NA","Minnesota, Minnesota","Fri, 09/27/2013 - Thu, 09/08/2016, Fri, 09/27/2013 - Thu, 09/08/2016"
055-2013,Product Contamination,"Garden Fresh Foods, Inc.",NA,"Wed, 09/25/2013 - Thu, 10/29/2015"
053-2013-EXP,Produced Without Benefit of Inspection,Siberoni,"Oregon, Washington","Wed, 09/25/2013 - Tue, 03/24/2015"
054-2013,Product Contamination,"Central Valley Meat Co., Inc.","Arkansas, California, Montana, Texas","Thu, 09/19/2013 - Tue, 03/24/2015"
053-2013,Produced Without Benefit of Inspection,Siberoni,"Oregon, Washington","Mon, 09/16/2013 - Tue, 03/24/2015"
052-2013,"Misbranding, Unreported Allergens","Galant Food Company, Galant Food Company","California, California","Fri, 09/13/2013 - Mon, 03/23/2015, Fri, 09/13/2013 - Mon, 03/23/2015"
051-2013,Product Contamination,"National Beef Packing Co., L.L.C.",Texas,"Thu, 09/12/2013 - Tue, 03/24/2015"
050-2013,"Misbranding, Unreported Allergens","Galant Food Company, Galant Food Company","California, California","Fri, 09/06/2013 - Tue, 03/24/2015, Fri, 09/06/2013 - Tue, 03/24/2015"
049-2013,"Misbranding, Unreported Allergens","Campbell Soup Supply Company L.L.C., Campbell Soup Supply Company L.L.C.","Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Texas, Oklahoma, Arkansas, Louisiana, Mississippi","Fri, 08/30/2013 - Mon, 11/23/2015, Fri, 08/30/2013 - Mon, 11/23/2015"
046-2013-EXP,"Misbranding, Unreported Allergens","West Lake Food Corporation, West Lake Food Corporation","NA, NA","Thu, 08/29/2013 - Mon, 03/23/2015, Thu, 08/29/2013 - Mon, 03/23/2015"
048-2013,"Misbranding, Unreported Allergens","Pride Enterprise Food Products, Pride Enterprise Food Products","NA, NA","Wed, 08/28/2013 - Tue, 03/24/2015, Wed, 08/28/2013 - Tue, 03/24/2015"
047-2013,Processing Defect,NA,West Virginia,"Wed, 08/28/2013 - Tue, 03/24/2015"
046-2013,"Misbranding, Unreported Allergens","West Lake Food Corporation, West Lake Food Corporation","NA, NA","Fri, 08/23/2013 - Tue, 03/24/2015, Fri, 08/23/2013 - Tue, 03/24/2015"
045-2013,Product Contamination,NA,"New York, California","Fri, 08/09/2013 - Tue, 03/24/2015"
044-2013,"Misbranding, Unreported Allergens","Traditions Prepared Meals, L.L.C., Traditions Prepared Meals, L.L.C.","NA, NA","Wed, 07/31/2013 - Tue, 03/24/2015, Wed, 07/31/2013 - Tue, 03/24/2015"
043-2013,Product Contamination,"National Beef Packing Co., L.L.C.",NA,"Wed, 07/31/2013 - Tue, 03/24/2015"
042-2013,"Misbranding, Unreported Allergens","NA, NA","Florida, Georgia, Illinois, Missouri, Ohio, Florida, Georgia, Illinois, Missouri, Ohio","Wed, 06/26/2013 - Tue, 03/24/2015, Wed, 06/26/2013 - Tue, 03/24/2015"
041-2013,Product Contamination,"Tip Top Poultry, Inc.",NA,"Wed, 06/19/2013 - Tue, 03/24/2015"
040-2013,Product Contamination,"National Beef Packing Co., L.L.C.","Arizona, Arkansas, Georgia, Illinois, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas","Tue, 06/18/2013 - Tue, 03/24/2015"
038-2013,"Misbranding, Unreported Allergens","Taylor Farm - Pacific, Taylor Farm - Pacific","California, Nevada, California, Nevada","Wed, 06/12/2013 - Tue, 03/24/2015, Wed, 06/12/2013 - Tue, 03/24/2015"
039-2013,"Misbranding, Unreported Allergens","Hickory Hollow Jerky, Hickory Hollow Jerky","NA, NA","Wed, 06/12/2013 - Tue, 07/16/2013, Wed, 06/12/2013 - Tue, 07/16/2013"
037-2013,"Misbranding, Unreported Allergens","Vocci Ravioli Company, Vocci Ravioli Company","Kansas, Missouri, Kansas, Missouri","Mon, 06/03/2013 - Tue, 03/24/2015, Mon, 06/03/2013 - Tue, 03/24/2015"
036-2013,"Misbranding, Unreported Allergens","Foster Farms, Foster Farms","Arizona, California, Hawaii, Nevada, Oregon, Utah, Washington, Arizona, California, Hawaii, Nevada, Oregon, Utah, Washington","Tue, 05/21/2013 - Thu, 05/10/2018, Tue, 05/21/2013 - Thu, 05/10/2018"
035-2013,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Fri, 05/10/2013 - Tue, 03/24/2015, Fri, 05/10/2013 - Tue, 03/24/2015"
034-2013,"Misbranding, Unreported Allergens","NA, NA","Louisiana, Mississippi, Texas, Louisiana, Mississippi, Texas","Fri, 05/10/2013 - Mon, 08/29/2016, Fri, 05/10/2013 - Mon, 08/29/2016"
033-2013,Produced Without Benefit of Inspection,NA,California,"Tue, 05/07/2013 - Fri, 06/14/2013"
030-2013,"Misbranding, Unreported Allergens","Mongiello Italian Cheese Specialties, Mongiello Italian Cheese Specialties","New Jersey, New York, New Jersey, New York","Thu, 05/02/2013 - Tue, 03/24/2015, Thu, 05/02/2013 - Tue, 03/24/2015"
031-2013,Product Contamination,NA,NA,"Thu, 05/02/2013 - Mon, 06/16/2014"
032-2013,Product Contamination,P.E. & F Inc. DBA DiMare's Specialty Foods,Louisiana,"Thu, 05/02/2013 - Fri, 06/17/2016"
029-2013,Produced Without Benefit of Inspection,NA,"Florida, Massachusetts, New Jersey, New York","Wed, 05/01/2013 - Tue, 10/22/2013"
028-2013-EXP,Product Contamination,Manda Packing Company,"Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, South Carolina, Tennessee, Texas","Fri, 04/12/2013 - Wed, 10/05/2016"
027-2013,"Misbranding, Unreported Allergens","Formosa Food Company Inc., Formosa Food Company Inc.","NA, NA","Wed, 04/10/2013 - Tue, 06/03/2014, Wed, 04/10/2013 - Tue, 06/03/2014"
028-2013,Product Contamination,Manda Packing Company,"Alabama, Florida, Illinois, Louisiana, Mississippi, Oklahoma, Tennessee, Texas","Wed, 04/10/2013 - Wed, 10/05/2016"
025-2013-EXP,Product Contamination,NA,NA,"Thu, 04/04/2013 - Wed, 06/15/2016"
026-2013,"Misbranding, Unreported Allergens","Tyson Foods, Inc., Tyson Foods, Inc.","NA, NA","Tue, 04/02/2013 - Wed, 07/30/2014, Tue, 04/02/2013 - Wed, 07/30/2014"
025-2013,Product Contamination,NA,NA,"Thu, 03/28/2013 - Wed, 06/15/2016"
024-2013,Product Contamination,NA,New York,"Mon, 03/25/2013 - Mon, 08/22/2016"
022-2013,Processing Defect,Ben-Lee Processing Inc.,Kansas,"Fri, 03/15/2013 - Tue, 03/24/2015"
023-2013,Product Contamination,NA,"Florida, Georgia, North Carolina, South Carolina, Virginia","Fri, 03/15/2013 - Tue, 03/24/2015"
021-2013,Product Contamination,NA,Michigan,"Tue, 03/12/2013 - Tue, 03/24/2015"
020-2013,"Misbranding, Unreported Allergens","Summer Garden Food Manufacturing, Summer Garden Food Manufacturing","Ohio, Pennsylvania, Ohio, Pennsylvania","Wed, 03/06/2013 - Fri, 08/16/2013, Wed, 03/06/2013 - Fri, 08/16/2013"
019-2013,Processing Defect,"Byron Center Wholesale Meats, Inc.","Michigan, Indiana","Sat, 03/02/2013 - Tue, 03/24/2015"
018-2013,Product Contamination,Schmalz European Provision Inc.,New Jersey,"Wed, 02/27/2013 - Tue, 03/24/2015"
017-2013,Product Contamination,NA,Alabama,"Thu, 02/21/2013 - Tue, 03/24/2015"
016-2013,Product Contamination,"Perfect Pasta, Inc.",Illinois,"Thu, 02/14/2013 - Tue, 03/24/2015"
015-2013,Product Contamination,"AdvancePierre Foods, Inc.",NA,"Fri, 02/08/2013 - Thu, 06/05/2014"
014-2013,"Misbranding, Unreported Allergens","Nueske Applewood Smoked Meats, Nueske Applewood Smoked Meats","NA, NA","Sat, 02/02/2013 - Wed, 10/15/2014, Sat, 02/02/2013 - Wed, 10/15/2014"
013-2013,"Misbranding, Unreported Allergens","Isabella Foods, Inc., Isabella Foods, Inc.","Texas, Texas","Thu, 01/31/2013 - Mon, 08/22/2016, Thu, 01/31/2013 - Mon, 08/22/2016"
012-2013,Product Contamination,"SAN JOSE VALLEY VEAL, INC",NA,"Wed, 01/30/2013 - Tue, 03/24/2015"
011-2013,"Misbranding, Unreported Allergens","BPT Products Inc., BPT Products Inc.","Texas, Texas","Mon, 01/28/2013 - Mon, 08/29/2016, Mon, 01/28/2013 - Mon, 08/29/2016"
010-2013,Product Contamination,"AdvancePierre Foods, Inc.","Kansas, Louisiana, Missouri, Oklahoma, Texas","Fri, 01/25/2013 - Tue, 03/24/2015"
009-2013,Product Contamination,NA,Michigan,"Fri, 01/25/2013 - Tue, 03/24/2015"
008-2013,Product Contamination,NA,Michigan,"Thu, 01/24/2013 - Tue, 03/24/2015"
007-2013,Product Contamination,Stallings Head Cheese Co.,"Louisiana, Texas","Thu, 01/24/2013 - Mon, 08/29/2016"
006-2013,Product Contamination,NA,NA,"Wed, 01/23/2013 - Fri, 03/07/2014"
005-2013,"Misbranding, Mislabeling","C&H Meat Co., C&H Meat Co.","California, California","Tue, 01/22/2013 - Tue, 03/24/2015, Tue, 01/22/2013 - Tue, 03/24/2015"
004-2013,Product Contamination,"LJD Holdings, Inc.",California,"Sat, 01/19/2013 - Thu, 08/01/2013"
003-2013,"Misbranding, Unreported Allergens","NA, NA","Indiana, Indiana","Fri, 01/18/2013 - Tue, 03/24/2015, Fri, 01/18/2013 - Tue, 03/24/2015"
002-2013,Produced Without Benefit of Inspection,"Humphrey's Market, Inc.","Kansas, Missouri, Nebraska","Thu, 01/17/2013 - Tue, 03/24/2015"
001-2013,Product Contamination,"Glenn's Market & Catering, Inc.",Wisconsin,"Tue, 01/15/2013 - Tue, 03/24/2015"
081-2012,"Misbranding, Unreported Allergens","Stehouwer's Frozen Foods, Inc., Stehouwer's Frozen Foods, Inc.","Michigan, Michigan","Fri, 12/21/2012 - Sat, 06/01/2013, Fri, 12/21/2012 - Sat, 06/01/2013"
082-2012,"Misbranding, Unreported Allergens","Wayne Farms LLC, Wayne Farms LLC","Kentucky, Tennessee, Kentucky, Tennessee","Fri, 12/21/2012 - Sat, 06/01/2013, Fri, 12/21/2012 - Sat, 06/01/2013"
080-2012,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Fri, 12/14/2012 - Sat, 06/01/2013, Fri, 12/14/2012 - Sat, 06/01/2013"
079-2012,Product Contamination,NA,NA,"Thu, 12/06/2012 - Sat, 06/01/2013"
078-2012,Produced Without Benefit of Inspection,NA,New York,"Tue, 12/04/2012 - Sat, 06/01/2013"
PHA-113012,Product Contamination,NA,NA,"Fri, 11/30/2012 - Current"
077-2012,Mislabeling,Troll Smokehouse,Michigan,"Thu, 11/29/2012 - Sat, 06/01/2013"
076-2012,Mislabeling,NA,Texas,"Wed, 11/21/2012 - Sat, 06/01/2013"
075-2012,Product Contamination,Stanley's Market Brands LLC,"Indiana, Michigan, Ohio","Tue, 11/20/2012 - Sat, 06/01/2013"
074-2012,Processing Defect,NA,NA,"Tue, 11/13/2012 - Sat, 06/01/2013"
073-2012,Product Contamination,NA,"Wisconsin, Illinois","Fri, 11/09/2012 - Sat, 06/01/2013"
072-2012,Product Contamination,NA,Kentucky,"Fri, 11/02/2012 - Sat, 06/01/2013"
071-2012,"Misbranding, Unreported Allergens","NA, NA","North Carolina, Connecticut, North Carolina, Connecticut","Thu, 11/01/2012 - Sat, 06/01/2013, Thu, 11/01/2012 - Sat, 06/01/2013"
070-2012,Product Contamination,Blount Fine Foods Corp.,"New York, Ohio, Pennsylvania, West Virginia","Tue, 10/30/2012 - Sat, 06/01/2013"
067-2012,Misbranding,"BEF Foods, Inc.",NA,"Mon, 10/22/2012 - Wed, 05/29/2013"
068-2012,Product Contamination,Salt Lake Fine Foods,Utah,"Mon, 10/22/2012 - Wed, 05/29/2013"
069-2012,Product Contamination,"Higa Meat & Pork Market, Ltd.",Hawaii,"Mon, 10/22/2012 - Wed, 05/29/2013"
066-2012,"Misbranding, Produced Without Benefit of Inspection","NA, NA","Louisiana, Texas, Louisiana, Texas","Mon, 10/15/2012 - Wed, 05/29/2013, Mon, 10/15/2012 - Wed, 05/29/2013"
065-2012,"Misbranding, Unreported Allergens","Tyson Foods, Inc., Tyson Foods, Inc.","NA, NA","Wed, 10/10/2012 - Wed, 05/29/2013, Wed, 10/10/2012 - Wed, 05/29/2013"
064-2012,"Misbranding, Unreported Allergens","Smithfield Packaged Meats Corp., Smithfield Packaged Meats Corp.","Georgia, Georgia","Wed, 10/03/2012 - Wed, 05/29/2013, Wed, 10/03/2012 - Wed, 05/29/2013"
PHA-092812-01,Product Contamination,NA,NA,"Fri, 09/28/2012 - Current"
063-2012,"Misbranding, Unreported Allergens","Foster Farms, Foster Farms","NA, NA","Fri, 09/28/2012 - Wed, 05/29/2013, Fri, 09/28/2012 - Wed, 05/29/2013"
PHA-092612-01,Product Contamination,NA,NA,"Wed, 09/26/2012 - Current"
PHA-092112-01,Product Contamination,NA,NA,"Fri, 09/21/2012 - Current"
062-2012,"Misbranding, Unreported Allergens","Makowski's Real Sausage Company, Makowski's Real Sausage Company","NA, NA","Fri, 09/21/2012 - Wed, 05/29/2013, Fri, 09/21/2012 - Wed, 05/29/2013"
PHA-092012-01,Product Contamination,NA,NA,"Thu, 09/20/2012 - Current"
061-2012,Product Contamination,"Serenade Foods, Division of Maple Leaf Farms, Inc.",Florida,"Fri, 09/14/2012 - Wed, 05/29/2013"
060-2012,Product Contamination,"Klement's Sausage Company, Inc.",NA,"Thu, 08/30/2012 - Wed, 05/29/2013"
058-2012,Mislabeling,"OSI Industries, LLC",NA,"Thu, 08/16/2012 - Wed, 05/29/2013"
059-2012,Product Contamination,NA,California,"Thu, 08/16/2012 - Wed, 05/29/2013"
056-2012,Product Contamination,Blount Fine Foods,NA,"Wed, 08/15/2012 - Wed, 05/29/2013"
057-2012,Product Contamination,"Johnsonville, LLC",NA,"Wed, 08/15/2012 - Wed, 05/29/2013"
055-2012,Product Contamination,Dale T. Smith and Sons Meat Packing Company Inc,NA,"Tue, 08/14/2012 - Wed, 05/29/2013"
054-2012,Misbranding,Alexis Wholesale Inc.,NA,"Mon, 08/06/2012 - Wed, 05/29/2013"
053-2012,Product Contamination,Reichel Foods Inc.,"Indiana, Minnesota, Pennsylvania, Texas","Sun, 08/05/2012 - Wed, 05/29/2013"
052-2012,Product Contamination,Kenosha Beef International Ltd,"Indiana, Maine, North Carolina, Ohio, Pennsylvania, South Carolina, Wisconsin","Thu, 08/02/2012 - Wed, 05/29/2013"
051-2012,Product Contamination,"Garden Fresh Foods, Inc.",NA,"Wed, 08/01/2012 - Wed, 05/29/2013"
047-2012,Product Contamination,NA,"Arizona, New Mexico, California, Nevada, Texas","Fri, 07/27/2012 - Wed, 05/29/2013"
048-2012,Product Contamination,LSG Sky Chefs,Florida,"Fri, 07/27/2012 - Wed, 05/29/2013"
049-2012,Product Contamination,Enslin & Son Packing Company,NA,"Fri, 07/27/2012 - Wed, 05/29/2013"
050-2012,"Misbranding, Unreported Allergens","Tony Downs Foods, Tony Downs Foods","NA, NA","Fri, 07/27/2012 - Wed, 05/29/2013, Fri, 07/27/2012 - Wed, 05/29/2013"
046-2012,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Thu, 07/26/2012 - Tue, 05/28/2013, Thu, 07/26/2012 - Tue, 05/28/2013"
045-2012,Product Contamination,Cargill Meat Solutions,Massachusetts,"Sun, 07/22/2012 - Tue, 05/28/2013"
044-2012,Product Contamination,Buona Vita Inc.,NA,"Thu, 07/19/2012 - Tue, 05/28/2013"
043-2012,Product Contamination,"Morgan Foods, Inc.","Connecticut, Maryland, New Jersey, New York, Pennsylvania, Virginia","Fri, 07/13/2012 - Tue, 05/28/2013"
042-2012,Product Contamination,Buona Vita Inc.,NA,"Sat, 07/07/2012 - Tue, 05/28/2013"
041-2012,Product Contamination,"Square H Brands, Inc.",NA,"Thu, 06/21/2012 - Wed, 05/29/2013"
040-2012,"Misbranding, Unreported Allergens","Pucci Foods, Pucci Foods","Arizona, California, Nevada, New Mexico, Oregon, Washington, Arizona, California, Nevada, New Mexico, Oregon, Washington","Wed, 06/13/2012 - Tue, 05/28/2013, Wed, 06/13/2012 - Tue, 05/28/2013"
039-2012,Mislabeling,CB Foods Inc.,"California, Nevada","Mon, 06/11/2012 - Tue, 05/28/2013"
038-2012,"Misbranding, Unreported Allergens","NA, NA","District of Columbia, Maryland, Virginia, District of Columbia, Maryland, Virginia","Wed, 06/06/2012 - Tue, 05/28/2013, Wed, 06/06/2012 - Tue, 05/28/2013"
037-2012,Product Contamination,L. Kang Inc.,Hawaii,"Sat, 06/02/2012 - Tue, 05/28/2013"
036-2012,"Misbranding, Unreported Allergens","Ba Le Meat Processing, Ba Le Meat Processing","California, Colorado, Illinois, Massachusetts, Minnesota, California, Colorado, Illinois, Massachusetts, Minnesota","Fri, 06/01/2012 - Tue, 05/28/2013, Fri, 06/01/2012 - Tue, 05/28/2013"
034-2012,"Misbranding, Unreported Allergens","Zenner's Quality Meat Products, Inc., Zenner's Quality Meat Products, Inc.","California, Idaho, Nevada, Oregon, Washington, California, Idaho, Nevada, Oregon, Washington","Thu, 05/24/2012 - Tue, 05/28/2013, Thu, 05/24/2012 - Tue, 05/28/2013"
035-2012,"Misbranding, Unreported Allergens","Mt. Airy Meat Center, Inc., Mt. Airy Meat Center, Inc.","North Carolina, North Carolina","Thu, 05/24/2012 - Tue, 05/28/2013, Thu, 05/24/2012 - Tue, 05/28/2013"
033-2012,"Misbranding, Unreported Allergens","WEST BEST FOODS INC, WEST BEST FOODS INC","Nevada, Nevada","Tue, 05/22/2012 - Tue, 05/28/2013, Tue, 05/22/2012 - Tue, 05/28/2013"
031-2012,"Misbranding, Unreported Allergens","Foster Farms, Foster Farms","Arizona, California, Colorado, Nevada, Oregon, Utah, Washington, Arizona, California, Colorado, Nevada, Oregon, Utah, Washington","Fri, 05/18/2012 - Tue, 05/28/2013, Fri, 05/18/2012 - Tue, 05/28/2013"
029-2012,Produced Without Benefit of Inspection,NA,Texas,"Thu, 05/17/2012 - Tue, 05/28/2013"
030-2012,"Misbranding, Unreported Allergens","NA, NA","Illinois, Pennsylvania, Illinois, Pennsylvania","Thu, 05/17/2012 - Tue, 05/28/2013, Thu, 05/17/2012 - Tue, 05/28/2013"
032-2012,"Misbranding, Unreported Allergens","Swift Pork Company, Swift Pork Company","Minnesota, Wisconsin, Minnesota, Wisconsin","Sat, 05/12/2012 - Tue, 05/28/2013, Sat, 05/12/2012 - Tue, 05/28/2013"
028-2012,"Misbranding, Unreported Allergens","Euro Foods Inc., d/b/a Citterio USA Corp, Euro Foods Inc., d/b/a Citterio USA Corp","Florida, Maryland, Florida, Maryland","Thu, 05/10/2012 - Tue, 05/28/2013, Thu, 05/10/2012 - Tue, 05/28/2013"
026-2012,"Misbranding, Unreported Allergens","Old Style Sausage, Old Style Sausage","Colorado, Colorado","Fri, 04/20/2012 - Tue, 05/28/2013, Fri, 04/20/2012 - Tue, 05/28/2013"
027-2012,Product Contamination,"Albie's Food Products, LLC",NA,"Fri, 04/20/2012 - Tue, 05/28/2013"
025-2012,"Misbranding, Unreported Allergens","Nestle Prepared Foods Company, Nestle Prepared Foods Company","NA, NA","Tue, 04/17/2012 - Tue, 05/28/2013, Tue, 04/17/2012 - Tue, 05/28/2013"
024-2012,Product Contamination,NA,Maine,"Wed, 04/11/2012 - Tue, 05/28/2013"
023-2012,Mislabeling,"QUALITY FOOD DISTRIBUTOR, INC.",Nevada,"Fri, 04/06/2012 - Tue, 05/28/2013"
022-2012,"Misbranding, Unreported Allergens","Albaghdadi Food Inc., Albaghdadi Food Inc.","Arizona, Arizona","Tue, 04/03/2012 - Tue, 05/28/2013, Tue, 04/03/2012 - Tue, 05/28/2013"
021-2012,Product Contamination,"Eddy Packing Co., Inc.",NA,"Sat, 03/31/2012 - Tue, 05/28/2013"
020-2012,"Misbranding, Unreported Allergens","Taylor Farms New Jersey, Inc., Taylor Farms New Jersey, Inc.","New York, New York","Fri, 03/30/2012 - Mon, 05/27/2013, Fri, 03/30/2012 - Mon, 05/27/2013"
019-2012,Product Contamination,NA,NA,"Thu, 03/29/2012 - Mon, 05/27/2013"
018-2012,"Misbranding, Unreported Allergens","J Bar B Foods, J Bar B Foods","Texas, Indiana, Texas, Indiana","Mon, 03/26/2012 - Mon, 05/27/2013, Mon, 03/26/2012 - Mon, 05/27/2013"
